name;description;latinName;family;class;size;weight;rangeContinent;rangeCountry
aap;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
arend;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
beer;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
bidsprinkhaan;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
bij;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
bizon;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
bok;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
buffel;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
dromedaris;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
duif;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
eekhoorn;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
eend;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
ezel;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
gans;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
gier;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
haan;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
haas;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
hagedis;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
hert;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
hond;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
ijsbeer;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
inktvis;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
insect;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
kakatoe;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
kameleon;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
kangoeroe;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
karper;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
kat;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
kikker;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
kip;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
koala;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
koe;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
koi;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
konijn;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
lam;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
leeuw;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
leguaan;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
luipaard;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
mens;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
merel;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
mossel;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
muis;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
mus;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
neushoorn;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
