artist;title;description;dateSince;material;image;lat;lng;animal
De artiest volgt nog;Stilleven;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.354098159991501;POINT4.9270831277842;aap
De artiest volgt nog;Zonder titel - Onbekend;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.360625904147298;POINT4.83084500122489;aap
De artiest volgt nog;Arenden;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.351043204141497;POINT4.87471120126826;arend
De artiest volgt nog;Beertje;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.362515204148401;POINT4.8381705012323;beer
De artiest volgt nog;Dansende Beer;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.3573226284227;POINT4.91957919086266;beer
De artiest volgt nog;Orso;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.376062164126999;POINT4.85371136846036;beer
De artiest volgt nog;Staalman;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.349576049253699;POINT4.83194257529159;beer
De artiest volgt nog;Voor de bijen;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.372861293374797;POINT4.93381083144462;bij
De artiest volgt nog;Man met bizons;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.348028304139802;POINT4.86190430125531;bizon
De artiest volgt nog;Bokkenrijder;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.3601070664443;POINT4.92093150529738;bok, schaap
De artiest volgt nog;Moeder Aarde;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.358461604145802;POINT4.89086190128475;bok, vogel, slang, eekhoorn, paard
De artiest volgt nog;Fata Morgana;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.349201192208703;POINT4.91602599901832;dromedaris
De artiest volgt nog;Vogels en sterren;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.383829004161001;POINT4.8283160012235;duif
De artiest volgt nog;Vrede;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.352105470363298;POINT4.94140148296337;duif
De artiest volgt nog;Gevelstenen Cornelis Schuytstraat 67-69 - Hacquartstraat 30-32 en 19-27;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;0;POINT0;duif, aap, gier
De artiest volgt nog;Eekhoorns en uilen;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.353206904142802;POINT4.86280830125647;eekhoorn, uil
De artiest volgt nog;Baksteenreliëf Eend in de golven;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.362183220892497;POINT4.80634689451104;eend
De artiest volgt nog;Bull;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.294194004107098;POINT4.97659400136744;stier
De artiest volgt nog;Barmhartige Samaritaan;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.371413904153698;POINT4.83819020123275;ezel
De artiest volgt nog;Ezeltje (Kost en de Baat);De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.346692504139099;POINT4.80123200119461;ezel
De artiest volgt nog;Rij liggende betonganzen;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.321098956593403;POINT4.96214815346912;gans
De artiest volgt nog;Aap en gier;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.351397104141597;POINT4.87926050127282;gier, aap
De artiest volgt nog;Haan;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.355965504144599;POINT4.82144840121527;haan
De artiest volgt nog;Haan;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.3899408410295;POINT4.87538695462469;haan
De artiest volgt nog;Haan op zuil;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.386049734638;POINT4.87580269702222;haan
De artiest volgt nog;Jongen met haan;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.372590004154397;POINT4.81241600120707;haan
De artiest volgt nog;Jongen met haan;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.353957004143403;POINT4.80238100119612;haan
De artiest volgt nog;Vliegend Hert;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.3922405041655;POINT4.95673380135216;hert
