artist;title;description;dateSince;material;image;lat;lng;Dier (etc niet allen in beschrijving)
Marjolijn Mandersloot;2 hondjes;Marjolijn Mandersloot realiseerde dit kunstwerk naar aanleiding van de herinrichting van de Postjesweg. De metershoge hondjes lijken sprekend op de knikkende hondjes die op hoedenplanken van auto’s te zien zijn. Verlangend kijken deze viervoeters naar het Rembrandtpark, een populaire uitlaatplek.;2002;Polyester, EPS-schuim;2hondjes;52,36401767;4,844241144;hond
Halim al Karim;A happy dog from Bagdad /De droom van een hond;A Happy Dog from Bagdad is een kleurrijk mozaïek van Halim al-Karim. In de afbeelding zijn verwijzingen terug te vinden naar het onmenselijke leven als vluchteling en naar het mysticisme. De Iraakse kunstenaar Halim Al Karim (1963, Nafjat) nam het besluit bij aanvang van de Eerste Golfoorlog dienst te weigeren en onder te duiken. Hij dook onder in de woestijn waar hij werd gered door de Bedoeïen. De vrouwen gaven hem niet alleen te eten en te drinken maar leerden hem ook over hun gewoonten en gebruiken, geloof en mysticisme. Al zijn kunstwerken worden sterk door deze ervaringen gekleurd.;2002;Mozaïek;ahappydog;52,36339528;4,861675502;hond
Theo Vos;Aap en gier;"Aan de gevel van het pand bevinden zich vier gevelstenen. Twee afbeeldingen van een gier en  twee van een aap. 

Theo Vos (1887-1948) werkte net als de stadsbeeldhouwer Hildo Krop veel samen met architecten van de Amsterdamse School, zoals Piet Kramer en Michel de Klerk.";1924;Zandsteen;aapengier;52,3513971;4,879260501;gier, aap
Theo Jansen;Animaris Rhinoceros Transport;"De Animaris Rhinoceros Transport is een kunstwerk van Theo Jansen (1948), een Nederlandse kunstenaar-uitvinder. Hij studeerde natuurkunde in Delft en is een beroemde internationale kunstenaar geworden door zijn bewegende strandbeesten, gemaakt van pvc-buizen, elastiek, tie wraps, houten stokken en zelfs pallets, die kunnen leven van de wind. Het loopmechaniek van deze beesten waarmee zij zich kunnen verplaatsen, is uniek en ontwerpt de kunstenaar met computersimulaties.

Het grootste doel van de kunstenaar Theo Jansen is om zijn creaties zodanig te helpen evolueren dat zij volledig zelfredzaam op de stranden kunnen leven. Sommigen hebben vleugels die energie opwekken met behulp van de wind; er zijn die obstakels herkennen en de andere kant op lopen wanneer ze niet verder kunnen. Een van de soorten kan zelfs zijn stappen tellen en zo 'bepalen' waar het op het strand is, deze soort heeft al een basaal oriëntatievermogen.

De Animaris Rhonoceros Transport weegt 2,8 ton en is een zijtak in de strandbeesten evolutie maar kan desondanks door één enkele persoon worden voortbewogen door slim gebruik te maken van de wind. Je kunt er in zitten. Zoals een auto een vervoertuigd paard is en een vliegtuig gezien kan worden als een vervoertuigde vogel, zo kan de Animaris Rhinoceros Transport opgevat worden als een vervoertuigde Animaris (de Latijnse naam voor strandbeest).

De Animaris Rhinoceros Transport die het stadsdeel Nieuw-West in de collectie heeft, is ontworpen door de kunstenaar maar de technische ontwikkeling en realisatie van dit lopende kunstwerk is in 2004 gedaan door het bedrijf Heijmerink | Wagemakers, Nieuwegein.

Het ontwerp waarmee kunstenaar Theo Jansen bij Heijmerink|Wagemakers kwam, was een kartonnen schaalmodel van 20 cm hoog waarin de unieke beweging van de Animaris al lag opgesloten. Het werkelijke beest is 4,5 meter hoog en 6 meter breed.

De Animaris Rhinoceros Transport stond lange tijd in de Albardagracht (in de wijk Geuzenveld-Slotermeer), een plek waar hij niet tot zijn recht kwam. Afgelopen jaren heeft het stadsdeel de deze Animaris laten restaureren en is samen met de kunstenaar gezocht naar een betere plek in het stadsdeel. Dat is Business Park Amsterdam Osdorp (BPAO) geworden. Het kunstwerk wordt in de entreezone in een speciale kooi geplaatst (mei 2014). Het is de bedoeling dat ‘het beest’ zo nu en dan los gaat.";2014;Polyester, Staal;animaris;52,35488857;4,771514597;neushoorn
Adriano Janus Remiëns;Arenden;"Twee gevelstenen aan een huis aan het Dijsselhofplantsoen met afbeeldingen van Arenden, een favoriet thema van beeldhouwer Adriano Janus Remiëns.

";1927;Natuursteen;arenden;52,3510432;4,874711201;arend
Antoine Mes;Baksteenreliëf Eend in de golven;Het wandreliëf van een wateroppervlak met eend bestaat uit een gepolijst deel dat met een v-vormige rimpeling overgaat in een deel waarbij ongepolijste bakstenen een stukje uit de muur steken. De maker van dit waterlandschap in baksteen is de Zeeuwse kunstenaar Antoine Mes (1927). Een ander beeld van hem zijn de bakstenen koffers die sinds 1978 op het metrostation Gaasperplas staan.;1983;Baksteen;baksteenrelief;52,36218322;4,806346895;eend
G.J. ten Wolde;Barmhartige Samaritaan;Het bronzen beeld werd in opdracht van het st. Lucasziekenhuis gemaakt door kunstenaar G.J. ten Wolde. Het beeld stelt de Samaritaan voor uit het bijbelverhaal, de Barmhartige Samaritaan, die een gewonde langs de kant van de weg vindt en hem niet negeert, zoals andere voorbijgangers hadden gedaan, maar hem op een ezel tilt en helpt. Op de rechthoekige stenen sokkel is een bronzen titelplaat bevestigd.;1985;Brons;barmhartige;52,3714139;4,838190201;ezel
Arie Teeuwisse;Beertje;De beeldhouwer en illustrator Adrianus Johannes Petrus Franciscus (Arie) Teeuwisse (1919-1993) was een student van Jaap Kaas en Jan Bronner. Tijdens de oorlog moest hij zijn studie aan de Rijksacademie voor beeldende kunsten tijdelijk onderbreken en heeft hij ondergedoken gezeten boven de berenverblijven van Artis. Hier werd de basis gelegd voor zijn voorliefde voor het afbeelden van dieren, zoals dit beertje. Veel van zijn beelden zijn nog steeds in Artis te bewonderen. Teeuwisse was vooral bekend om zijn dierenbeelden en mensfiguren die hij met groot observatievermogen wist te karakteriseren.;1970;Brons;beertje;52,3625152;4,838170501;beer
Bastienne Kramer;Bestrating met beesten;De kunstenares Bastienne Kramer ontwierp een 'tuinlandschap' van baksteen met een meertje van blauwe straatstenen en dierenfiguren die eraan herinneren dat hier ooit een veemarkt was.;1994;Kinderkopjes;bestrating;52,3680978;4,937269438;varken, paard, ezel
Gerard Polhuis;Bladmotieven en merel;Stalen deur ter afsluiting van de stadsdeelwerf, bestaande uit een raamwerk met gaas en vier plant- en vogelsilhouetten;1996;Gelakt staal;bladmotieven;52,38199784;4,866771699;merel
